"AGENT_NO","LONGT","LAT"
7496,167.525,-45.825
7497,167.525,-45.875
7498,167.525,-45.925
7499,167.525,-45.975
7500,167.525,-46.025
7501,167.725,-45.325
7502,167.725,-45.375
7503,167.725,-45.425
7504,167.725,-45.475
7505,167.725,-45.525
7506,167.725,-45.575
7507,167.725,-45.625
7508,167.725,-45.675
7509,167.725,-45.725
7510,167.725,-45.775
7511,167.725,-45.825
7512,167.725,-45.875
7513,167.725,-45.925
7514,167.725,-45.975
7515,167.725,-46.025
7518,167.725,-46.075
7521,167.725,-46.125
7522,167.725,-46.175
7523,167.725,-46.225
7524,167.725,-46.275
7525,167.725,-46.325
,167.725,-46.375
,167.725,-46.425
,167.725,-46.475
,167.725,-46.525
,167.725,-46.575
,167.725,-46.625
,167.725,-46.675
7526,167.725,-46.725
7527,167.725,-46.775
,167.725,-46.825
,167.725,-46.875
,167.725,-46.925
7528,167.725,-46.975
7529,167.725,-47.025
7530,167.725,-47.075
7531,167.725,-47.125
7532,167.725,-47.175
,167.725,-47.225
,167.725,-47.275
,167.725,-47.325
7533,166.875,-45.475
,166.875,-45.525
7534,166.875,-45.575
7535,166.875,-45.625
7536,166.875,-45.675
,166.875,-45.725
7537,166.875,-45.775
7538,166.875,-45.825
7539,166.875,-45.875
7540,166.875,-45.925
,166.875,-45.975
7541,166.875,-46.025
7542,166.875,-46.075
7543,166.875,-46.125
7544,166.875,-46.175
,166.875,-46.225
,166.875,-46.275
,166.875,-46.325
,166.875,-46.375
,166.875,-46.425
,166.875,-46.475
,166.925,-44.725
,166.925,-44.775
,166.925,-44.825
,166.925,-44.875
,166.925,-44.925
,166.925,-44.975
,166.925,-45.025
,166.925,-45.075
,166.925,-45.125
,166.925,-45.175
7545,166.925,-45.225
7546,166.925,-45.275
7547,166.925,-45.325
7548,166.925,-45.375
,166.925,-45.425
7549,166.925,-45.475
,166.925,-45.525
7550,166.925,-45.575
7551,166.925,-45.625
7552,166.925,-45.675
,166.925,-45.725
,167.725,-47.375
,167.725,-47.425
,167.725,-47.475
,167.725,-47.525
,167.775,-44.125
,167.775,-44.175
,167.775,-44.225
,167.775,-44.275
,167.775,-44.325
,167.775,-44.375
,167.775,-44.425
,167.775,-44.475
,167.775,-44.525
,167.775,-44.575
7553,167.775,-44.625
7554,167.775,-44.675
7555,167.775,-44.725
7558,167.775,-44.775
7559,167.775,-44.825
7560,167.775,-44.875
7561,167.775,-44.925
7562,167.775,-44.975
7563,167.775,-45.025
7564,167.775,-45.075
7565,167.775,-45.125
7566,167.775,-45.175
7567,167.775,-45.225
7568,167.775,-45.275
7569,167.775,-45.325
7570,167.775,-45.375
7571,167.775,-45.425
7572,167.775,-45.475
7573,167.775,-45.525
7574,167.775,-45.575
7575,167.775,-45.625
7576,167.775,-45.675
7577,167.775,-45.725
7579,167.775,-45.775
7580,167.775,-45.825
7581,167.775,-45.875
7582,167.775,-45.925
7583,167.775,-45.975
7584,167.775,-46.025
7585,167.775,-46.075
7586,167.775,-46.125
7587,167.775,-46.175
7588,167.775,-46.225
7589,167.775,-46.275
7590,167.775,-46.325
7591,167.775,-46.375
,167.775,-46.425
,167.775,-46.475
,167.775,-46.525
,167.775,-46.575
,167.775,-46.625
,167.775,-46.675
7592,167.775,-46.725
7593,167.775,-46.775
7594,167.775,-46.825
7595,167.775,-46.875
7596,167.775,-46.925
7597,167.775,-46.975
7598,167.775,-47.025
7599,167.775,-47.075
7600,167.775,-47.125
7601,167.775,-47.175
,167.775,-47.225
,167.775,-47.275
,167.775,-47.325
,167.775,-47.375
,167.775,-47.425
,167.775,-47.475
,167.775,-47.525
,167.825,-44.125
,167.825,-44.175
,167.825,-44.225
,167.825,-44.275
,167.825,-44.325
,167.825,-44.375
,167.825,-44.425
,167.825,-44.475
,167.825,-44.525
7602,167.825,-44.575
7603,167.825,-44.625
7604,167.825,-44.675
7605,167.825,-44.725
7606,167.825,-44.775
7607,167.825,-44.825
7608,167.825,-44.875
7609,167.825,-44.925
7610,167.825,-44.975
7611,167.825,-45.025
7612,167.825,-45.075
7613,167.825,-45.125
7614,167.825,-45.175
7615,167.825,-45.225
7616,167.825,-45.275
7617,167.825,-45.325
7618,167.825,-45.375
7619,167.825,-45.425
7620,167.825,-45.475
7621,167.825,-45.525
7622,167.825,-45.575
7623,167.825,-45.625
7624,167.825,-45.675
7625,167.825,-45.725
7626,167.825,-45.775
7627,167.825,-45.825
7628,167.825,-45.875
7629,167.825,-45.925
7630,167.825,-45.975
7631,167.825,-46.025
7632,167.825,-46.075
7633,167.825,-46.125
7634,167.825,-46.175
7635,167.825,-46.225
7636,167.825,-46.275
7637,167.825,-46.325
,167.825,-46.375
,167.825,-46.425
,167.825,-46.475
,167.825,-46.525
,167.825,-46.575
,167.825,-46.625
7638,168.375,-46.175
7639,168.375,-46.225
7640,168.375,-46.275
7641,168.375,-46.325
7642,168.375,-46.375
7643,168.375,-46.425
7644,168.375,-46.475
7645,168.375,-46.525
,168.375,-46.575
,168.375,-46.625
,168.375,-46.675
,168.375,-46.725
,168.375,-46.775
,168.375,-46.825
,168.375,-46.875
,168.375,-46.925
,168.375,-46.975
,168.375,-47.025
,168.375,-47.075
,168.375,-47.125
,168.375,-47.175
,168.375,-47.225
,168.375,-47.275
,168.375,-47.325
,168.425,-43.775
,168.425,-43.825
,168.425,-43.875
,168.425,-43.925
,168.425,-43.975
7646,168.425,-44.025
7647,168.425,-44.075
7648,168.425,-44.125
7649,168.425,-44.175
7650,168.425,-44.225
7651,168.425,-44.275
7652,168.425,-44.325
7653,168.425,-44.375
7654,168.425,-44.425
7655,168.425,-44.475
7656,168.425,-44.525
7657,168.425,-44.575
7658,168.425,-44.625
7659,167.875,-45.275
7660,167.875,-45.325
7661,167.875,-45.375
7662,167.875,-45.425
7663,167.875,-45.475
7664,167.875,-45.525
7665,167.875,-45.575
7666,167.875,-45.625
7667,167.875,-45.675
7668,167.875,-45.725
7669,167.875,-45.775
7670,167.875,-45.825
7671,167.875,-45.875
7672,167.875,-45.925
7673,167.875,-45.975
7674,167.875,-46.025
7675,167.875,-46.075
7676,167.875,-46.125
7677,167.875,-46.175
7678,167.875,-46.225
7679,167.875,-46.275
7680,167.875,-46.325
7681,167.875,-46.375
,167.875,-46.425
,167.875,-46.475
,167.875,-46.525
,167.875,-46.575
,167.875,-46.625
,167.875,-46.675
7682,167.875,-46.725
7683,167.875,-46.775
7684,167.875,-46.825
7685,167.875,-46.875
7686,167.875,-46.925
7687,167.875,-46.975
7688,167.875,-47.025
7689,167.875,-47.075
7690,167.875,-47.125
7691,167.875,-47.175
,167.875,-47.225
,167.875,-47.275
,167.875,-47.325
,167.875,-47.375
,167.875,-47.425
,167.925,-43.975
,167.925,-44.025
,167.925,-44.075
,167.925,-44.125
,167.925,-44.175
,167.925,-44.225
,167.925,-44.275
,167.925,-44.325
,167.925,-44.375
7692,167.925,-44.425
7693,167.925,-44.475
7694,167.925,-44.525
7695,167.925,-44.575
